state,cluster,county,total_pop,fips,white,black,asian,hispanic,area,lon,lat,votes_gop,votes_dem,total_votes,median_income,pop25,no_hs,some_hs,hs,some_college,associates,bachelors,graduate,never,rarely,sometimes,frequently,always,pop_density,per_white,per_black,per_asian,per_hispanic,per_total_votes,per_votes_gop,per_votes_dem,per_no_hs,per_some_hs,per_hs,per_some_college,per_associates,per_bachelors,per_graduate,edu,mask,per_gop,gop
Alaska,1,Aleutians West Census Area,5634.0,02016,1332.0,367.0,2174.0,787.0,4390.276,-104.98707,52.812805,260.0,493.0,846.0,85517.0,4107.0,235.0,224.0,1664.0,1038.0,271.0,536.0,139.0,0.078,0.031,0.03,0.337,0.524,1.283290653115767,0.2364217252396166,0.06514022009229677,0.3858714944976926,0.1396876109336173,0.1501597444089457,0.3073286,0.58274233,0.057219381543705865,0.05454102751400049,0.40516191867543216,0.2527392257121987,0.06598490382274166,0.13050888726564402,0.03384465546627709,2.74263452641831,3.198,0.34528553,0
Alaska,2,Anchorage,288000.0,02020,164464.0,15359.0,28106.0,26992.0,1704.683,-149.13486,61.149883,39942.0,32130.0,81678.0,83280.0,191994.0,4710.0,7157.0,45753.0,49990.0,16665.0,42077.0,25642.0,0.042,0.05,0.049,0.196,0.663,168.94636879981422,0.5710555555555555,0.05332986111111111,0.09759027777777778,0.09372222222222222,0.28360416666666666,0.48901784,0.39337397,0.024532016625519546,0.03727720657937227,0.23830432201006282,0.2603727199808327,0.08679958748710898,0.21915789035074013,0.13355625696636353,3.5393293540423136,3.388,0.5541958,1
Arizona,0,Pima-Pinal,1510068.0,04019-04021,795825.0,57439.0,39496.0,537722.0,14552.648,-111.626144,32.394623,200876.0,231386.0,454567.0,52420.09450766456,966677.0,46472.0,74719.0,237954.0,249424.0,87023.0,159697.0,111388.0,0.02606469,0.033500537,0.080048785,0.12927467,0.73080486,103.76585447558676,0.5270126908192214,0.038037359906971074,0.02615511354455561,0.35609124887091176,0.3010241922880294,0.44190624,0.5090251,0.04807396886447076,0.07729469098778599,0.24615667901481053,0.2580220694192579,0.09002283079042948,0.16520202715074425,0.11522773377250105,3.221142118825626,3.5046415,0.4647089,0
Arizona,1,Graham-Greenlee,48335.0,04009-04011,24123.0,752.0,302.0,17405.0,6465.723,-109.70333,33.01222,9917.0,4393.0,15182.0,53240.39929657598,29486.0,1286.0,2751.0,9183.0,8967.0,2992.0,2822.0,1485.0,0.098144054,0.07132308,0.22324476,0.05686014,0.55123144,7.475575263515892,0.499079342091652,0.015558084203992966,0.006248060411709941,0.36009103134374676,0.3140995138098686,0.6532077,0.2893558,0.04361391846978227,0.09329851454927762,0.3114359356982975,0.30411042528657667,0.10147188496235501,0.0957064369531303,0.050362884080580615,2.8150986909041578,2.8933187,0.6930119,1
Arizona,2,Apache-Navajo,182811.0,04001-04017,59125.0,1236.0,920.0,17478.0,21147.943,-109.88047,35.39767,23480.0,27558.0,54068.0,37265.59713036961,114079.0,8862.0,12186.0,35665.0,32599.0,8553.0,9917.0,6297.0,0.07684367,0.0903046,0.047989525,0.14332555,0.6409299,8.644386685429573,0.3234214571333235,0.006761081116563008,0.005032519924949811,0.09560693831334001,0.29575900793715915,0.43426797,0.5096915,0.07768300914278702,0.10682071196276265,0.3126342271583727,0.28575811499048903,0.07497435987342105,0.08693098642169023,0.0551985904504773,2.6551074255559737,3.1799798,0.46004936,0
Arizona,3,Santa Cruz,46498.0,04023,6966.0,203.0,265.0,38711.0,1236.916,-110.84577,31.525698,3650.0,10684.0,14926.0,40467.0,29228.0,3404.0,3723.0,7957.0,6308.0,1698.0,3993.0,2145.0,0.028,0.002,0.058,0.074,0.837,37.59188126972798,0.14981289517828725,0.0043657791732977765,0.005699169856768033,0.832530431416405,0.32100305389479117,0.24453972,0.71579796,0.11646366497878746,0.12737785684959627,0.2722389489530587,0.21582044614752977,0.05809497741891337,0.13661557410702066,0.07338853154509374,2.675106062679622,3.688,0.25463933,0
Arizona,4,Yavapai,235099.0,04025,188477.0,1713.0,2622.0,34641.0,8123.499,-112.55541,34.599655,58862.0,29705.0,92780.0,50180.0,171813.0,4544.0,12079.0,44214.0,50935.0,16771.0,25694.0,17576.0,0.031,0.073,0.081,0.176,0.639,28.940607898358145,0.8016920531350622,0.007286292157771833,0.011152748416624485,0.14734643703290953,0.39464225709169326,0.6344255,0.320166,0.026447358465308213,0.07030317845564654,0.257337919715039,0.2964560306845233,0.09761193856111004,0.14954630906858038,0.1022972650497925,3.2263099998253915,3.319,0.6646042,1
Arizona,5,Maricopa,4485414.0,04013,2446089.0,250899.0,194895.0,1408855.0,9200.143,-112.49151,33.34887,590465.0,549040.0,1201934.0,61606.0,2811491.0,165555.0,188958.0,634810.0,685299.0,237799.0,571408.0,327662.0,0.023,0.025,0.059,0.158,0.734,487.5374443288392,0.5453429716855568,0.055936642637669565,0.04345083865168299,0.31409698190624097,0.2679650083582028,0.4912624,0.45679712,0.05888512536586459,0.06720917833277787,0.22579122607897376,0.24374931308689946,0.08458109949489434,0.2032402024406267,0.1165438551999633,3.3038281111339143,3.5530002,0.51817673,1
Arizona,6,Yuma,213787.0,04027,64453.0,3975.0,2484.0,138131.0,5513.992,-113.90625,32.769093,20586.0,18336.0,40759.0,44058.0,130819.0,18357.0,18095.0,33924.0,31847.0,9281.0,12716.0,6599.0,0.008,0.013,0.046,0.129,0.804,38.77172704100789,0.3014823165112939,0.018593272743431546,0.01161904138231043,0.6461150584460233,0.19065237830176765,0.5050664,0.44986382,0.140323653291953,0.13832088610981585,0.2593201293390104,0.24344323072336588,0.07094535197486604,0.09720300567960312,0.05044374288138573,2.4597497305437286,3.7080002,0.52890396,1
Arizona,7,Mohave,212181.0,04015,162835.0,2352.0,2379.0,35919.0,13311.084,-113.75928,35.70662,54656.0,16485.0,74189.0,43266.0,155888.0,6618.0,16339.0,54288.0,45943.0,12596.0,13083.0,7021.0,0.051,0.096,0.104,0.164,0.585,15.940174387680614,0.7674344074163096,0.011084875648620754,0.01121212549662788,0.16928471446547994,0.34964959162224707,0.736713,0.22220275,0.04245355639946628,0.10481242943651853,0.3482500256594478,0.29471800266858256,0.08080160114954327,0.08392563892025044,0.04503874576619111,2.6985335625577336,3.136,0.7682771,1
Arizona,8,Gila,54018.0,04007,33293.0,321.0,436.0,10216.0,4757.933,-110.81498,33.802414,13672.0,6746.0,21398.0,42092.0,38955.0,1575.0,4143.0,11144.0,11761.0,3106.0,4590.0,2636.0,0.073,0.014,0.03,0.336,0.547,11.353249153064366,0.6163315931726462,0.005942463623236699,0.008071383612869784,0.18912214447036174,0.3961272168536414,0.63893825,0.31526312,0.04043126684636118,0.10635348479014248,0.28607367475292006,0.30191246309844694,0.07973302528558593,0.11782826338082403,0.06766782184571941,2.8983185727121037,3.27,0.66960526,1
Arizona,9,Coconino,143476.0,04005,77608.0,1855.0,2777.0,20542.0,18618.885,-111.770805,35.839233,16573.0,25308.0,44929.0,57616.0,82119.0,3407.0,5108.0,17604.0,19355.0,7391.0,17349.0,11905.0,0.039,0.08,0.07,0.11,0.702,7.705939523557913,0.5409127658981293,0.012928991608352616,0.01935515347514567,0.14317377122306169,0.31314644958041765,0.36887088,0.56328875,0.04148857146336414,0.06220241357055006,0.21437182625214626,0.23569454084925534,0.09000353146044156,0.21126657655353817,0.14497253985070446,3.4842119363362927,3.358,0.39571643,0
Arizona,10,Cochise,125922.0,04003,68968.0,4847.0,2558.0,44988.0,6165.69,-109.75131,31.879366,25036.0,15291.0,43147.0,48649.0,87467.0,4885.0,6330.0,20560.0,25538.0,10038.0,12527.0,7589.0,0.053,0.025,0.147,0.194,0.581,20.423018542395294,0.5477041343053637,0.03849208240021601,0.020314162735661757,0.35726878543860485,0.3426486237512111,0.5802489,0.35439312,0.05584963471937988,0.07237015102838786,0.23506007980152516,0.29197297266397615,0.11476328215212594,0.14321972858335144,0.08676415105125361,3.114145906456149,3.225,0.62082475,1
Arizona,11,La Paz,21108.0,04012,11928.0,185.0,130.0,5982.0,4499.629,-113.9797,33.729965,3381.0,1318.0,4931.0,33333.0,15910.0,1318.0,2288.0,5248.0,4185.0,899.0,1324.0,648.0,0.031,0.064,0.162,0.173,0.57,4.691053515697909,0.5650938032973281,0.008764449497820731,0.006158802349819974,0.2833996588971006,0.2336081106689407,0.68566215,0.2672886,0.08284098051539912,0.14380892520427405,0.329855436832181,0.2630421118793212,0.05650534255185418,0.08321810182275298,0.04072910119421747,2.479132620993086,3.187,0.7195148,1
