fips,median_income,county,state
05107,29263.0,Phillips,Arkansas
05109,37406.0,Pike,Arkansas
05111,39277.0,Poinsett,Arkansas
05113,37035.0,Polk,Arkansas
05115,41914.0,Pope,Arkansas
05117,41846.0,Prairie,Arkansas
05119,50093.0,Pulaski,Arkansas
05121,36870.0,Randolph,Arkansas
05123,35356.0,St. Francis,Arkansas
05125,62152.0,Saline,Arkansas
05127,35509.0,Scott,Arkansas
05129,36390.0,Searcy,Arkansas
05131,43240.0,Sebastian,Arkansas
05133,46667.0,Sevier,Arkansas
05135,33708.0,Sharp,Arkansas
05137,36162.0,Stone,Arkansas
05139,44000.0,Union,Arkansas
05141,36897.0,Van Buren,Arkansas
05143,49629.0,Washington,Arkansas
05145,43822.0,White,Arkansas
05147,31023.0,Woodruff,Arkansas
05149,42361.0,Yell,Arkansas
06001,92574.0,Alameda,California
06003,64688.0,Alpine,California
06005,61198.0,Amador,California
06007,48443.0,Butte,California
06009,58151.0,Calaveras,California
06011,56704.0,Colusa,California
06013,93712.0,Contra Costa,California
06015,45258.0,Del Norte,California
06017,80582.0,El Dorado,California
06019,51261.0,Fresno,California
06021,47395.0,Glenn,California
06023,45528.0,Humboldt,California
06025,45834.0,Imperial,California
06027,52874.0,Inyo,California
06029,52479.0,Kern,California
06031,53865.0,Kings,California
06033,42475.0,Lake,California
06035,56362.0,Lassen,California
06037,64251.0,Los Angeles,California
06039,52884.0,Madera,California
06041,110217.0,Marin,California
06043,51199.0,Mariposa,California
06045,49233.0,Mendocino,California
06047,50129.0,Merced,California
06049,45149.0,Modoc,California
06051,63018.0,Mono,California
06053,66676.0,Monterey,California
06055,84753.0,Napa,California
06057,63240.0,Nevada,California
06059,85398.0,Orange,California
06061,84357.0,Placer,California
06063,53270.0,Plumas,California
06065,63948.0,Riverside,California
06067,63902.0,Sacramento,California
06069,81977.0,San Benito,California
06071,60164.0,San Bernardino,California
06073,74855.0,San Diego,California
06075,104552.0,San Francisco,California
06077,61145.0,San Joaquin,California
06079,70699.0,San Luis Obispo,California
06081,113776.0,San Mateo,California
06083,71657.0,Santa Barbara,California
06085,116178.0,Santa Clara,California
06087,78041.0,Santa Cruz,California
06089,50905.0,Shasta,California
06091,48125.0,Sierra,California
06093,44200.0,Siskiyou,California
06095,77609.0,Solano,California
06097,76753.0,Sonoma,California
06099,57387.0,Stanislaus,California
06101,56955.0,Sutter,California
06103,42899.0,Tehama,California
06105,38497.0,Trinity,California
06107,47518.0,Tulare,California
06109,56493.0,Tuolumne,California
06111,84017.0,Ventura,California
06113,65923.0,Yolo,California
06115,52624.0,Yuba,California
08001,67575.0,Adams,Colorado
08003,39191.0,Alamosa,Colorado
08005,73925.0,Arapahoe,Colorado
08007,50753.0,Archuleta,Colorado
