state,cluster,county,total_pop,fips,white,black,asian,hispanic,area,lon,lat,votes_gop,votes_dem,total_votes,median_income,pop25,no_hs,some_hs,hs,some_college,associates,bachelors,graduate,never,rarely,sometimes,frequently,always,pop_density,per_white,per_black,per_asian,per_hispanic,per_total_votes,per_votes_gop,per_votes_dem,education,mask,per_gop
Alabama,0,Blount-Colbert-Cullman-Fayette-Franklin-Lamar-Lauderdale-Lawrence-Limestone-Marion-Morgan-Pickens-Walker-Winston,739340,01009-01033-01043-01057-01059-01075-01077-01079-01083-01093-01103-01107-01127-01133,604170,69572,4979,41679,9364.081999999999,-87.47101939010153,34.165800241258424,249093.0,62571.0,319101.0,46053.52559309654,509355,32224,56954,176509,110252,43440,58544,31432,0.09585637054670383,0.0718377607054941,0.1589526428977196,0.23510662076987582,0.4381602699705143,78.9548831375035,0.8171747775042606,0.09410014337111478,0.0067343847215083725,0.05637325181919009,0.4316025103470663,0.7806086474188423,0.19608525200485113,2.740328454614169,2.847703988692618,0.7992357153858001
Alabama,1,Autauga-Bibb-Butler-Chilton-Conecuh-Coosa-Elmore-Escambia-Lowndes-Monroe,313170,01001-01007-01013-01021-01035-01037-01051-01053-01085-01099,211423,81403,2028,10819,7492.933999999999,-86.82341683456785,32.090398897953804,97014.0,41582.0,141094.0,47586.95845068174,217241,9993,24065,85676,39917,17105,25476,15009,0.06678662387840471,0.06797620142414663,0.14210022352077148,0.24882070121659164,0.4747113548551904,41.79537681767917,0.6751061723664463,0.2599323051377846,0.006475716064757161,0.03454673180700578,0.4505348532745793,0.68758416374899,0.2947113272003062,2.766614036945144,2.997484171536226,0.6999769113105717
Alabama,2,Calhoun-Chambers-Cherokee-Clay-Cleburne-DeKalb-Etowah-Jackson-Marshall-Randolph-St. Clair-Talladega-Tallapoosa,755960,01015-01017-01019-01027-01029-01049-01055-01071-01095-01111-01115-01121-01123,578907,111312,5059,43417,8541.702,-85.86562801367182,33.79564791158399,232993.0,70229.0,309860.0,43706.37293772157,522982,34037,62362,180584,117304,44612,52389,31694,0.09853271733954178,0.10065647917879254,0.14545792502248797,0.1883184731996402,0.4670174017143764,88.50226804915461,0.7657905180168263,0.14724588602571564,0.006692153023969522,0.057432932959415844,0.4098894121382084,0.751929903827535,0.22664751823404117,2.6884271351595275,2.8245973556801944,0.7683908159698175
Alabama,3,Baldwin-Mobile,636444,01003-01097,419294,167703,10840,22977,2819.219,-87.9350891573615,30.7526535654506,163867.0,86838.0,257477.0,49601.96650137325,424688,13171,39386,133565,92811,35977,72464,37314,0.07910451194449158,0.06614172810176544,0.10059699203700562,0.2717094072691391,0.4814473606475982,225.75188376639062,0.6588073734688362,0.2635000094273809,0.017032134798976816,0.03610215509927032,0.40455562468968204,0.6364335455205707,0.337265076103885,3.0965343970161623,3.008253376573587,0.6536247781256855
Alabama,4,Barbour-Bullock-Coffee-Covington-Crenshaw-Dale-Geneva-Henry-Houston-Macon-Pike-Russell,445623,01005-01011-01031-01039-01041-01045-01061-01067-01069-01087-01109-01113,275462,133705,4396,20334,8025.200000000001,-85.75466766128608,31.66128622355789,118368.0,57230.0,178906.0,42686.13060142766,302490,15971,35810,99402,68508,27502,34948,20349,0.0903775500815712,0.10029256568893437,0.12568717054550596,0.23002938358208622,0.4532668982525588,55.52796191995215,0.6181503198892337,0.30004061729309306,0.009864840908121888,0.04563049932341912,0.4014738916079287,0.6616211865448896,0.31988865661296995,2.800026447155278,2.8548226505364402,0.6740851262542854
Alabama,5,Jefferson-Madison,1031482,01073-01089,566628,375094,21555,46225,1912.8690000000001,-86.74885350584967,34.06080612612049,219813.0,214016.0,449584.0,56114.15033902676,692517,20591,47051,170805,149953,57005,151482,95630,0.05369985612933623,0.041699856129336244,0.11278443831302921,0.17827694521087134,0.6139004316119913,539.2329532236656,0.5493338710709446,0.36364570588725736,0.020897116963747308,0.044814160596113164,0.43586218664019344,0.4889253176269618,0.4760311754866721,3.462340996683114,3.257701294835974,0.5066812038844798
Alabama,6,Choctaw-Clarke-Dallas-Greene-Hale-Marengo-Perry-Sumter-Washington-Wilcox,163081,01023-01025-01047-01063-01065-01091-01105-01119-01129-01131,64145,92476,898,2449,8990.850999999999,-87.7736127006719,32.175023978495226,36981.0,51289.0,88987.0,31627.64028918145,114679,6457,15270,45284,21843,9562,9722,6541,0.05143379670225225,0.08778980383980968,0.13387928084816747,0.19840170222159545,0.528395012294504,18.138549954837426,0.3933321478283798,0.5670556349298814,0.0055064661119321075,0.015017077403253597,0.5456613584660384,0.4155775562722645,0.576365087035185,2.593944837328543,3.064333521378947,0.4189532117367169
Alabama,7,Shelby-Tuscaloosa,427057,01117-01125,295376,95966,8156,20943,2106.685,-87.20195328225087,33.280443818864505,120547.0,54673.0,180916.0,64221.049361092315,270976,7549,18457,67203,59138,19536,63431,35662,0.03131431869750408,0.0558811353051232,0.13074590979658454,0.24343159109908044,0.5386270451017078,202.71516624459755,0.6916547439803118,0.2247147336304053,0.019098153173932285,0.04904029204532416,0.4236343157939104,0.6663147538083972,0.30220102146852684,3.4672738545111006,3.202175908602365,0.6879751169957767
Alabama,8,Lee-Montgomery,391028,01081-01101,185423,170544,14135,14435,1391.783,-85.83120508344936,32.38560830923899,68249.0,79656.0,152240.0,48017.77236412738,245030,9399,21296,61144,53929,18754,46987,33521,0.05473761981239196,0.08195540472805017,0.12931190093804024,0.19979699151978886,0.5336188763975982,280.95471779724284,0.4741936638808474,0.43614268031956793,0.03614830651513447,0.03691551500148327,0.38933273320580625,0.4482987388334209,0.5232264844981608,3.332032812308697,3.07444568675389,0.46143808525742874
Alaska,0,Aleutians East Borough-Bethel Census Area-Bristol Bay Borough-Denali Borough-Dillingham Census Area-Fairbanks North Star Borough-Haines Borough-Hoonah-Angoon Census Area-Juneau City and Borough-Kenai Peninsula Borough-Ketchikan Gateway Borough-Kodiak Island Borough-Kusilvak Census Area-Lake and Peninsula Borough-Matanuska-Susitna Borough-Nome Census Area-North Slope Borough-Northwest Arctic Borough-Petersburg Borough-Prince of Wales-Hyder Census Area-Sitka City and Borough-Skagway-Southeast Fairbanks Census Area-Valdez-Cordova Census Area-Wrangell City and Borough-Yakutat City and Borough-Yukon-Koyukuk Census Area,437911,02013-02050-02060-02068-02070-02090-02100-02105-02110-02122-02130-02150-02158-02164-02170-02180-02185-02188-02195-02198-02220-02230-02240-02261-02275-02282-02290,274282,8464,16326,25433,564545.9890000001,-152.26386363750927,63.87212755021857,62957.5,35481.5,113747.5,72057.14160868304,281626,7300,15134,86434,78391,23116,45440,25811,0.059263761357901484,0.06491906802980514,0.09582235431400445,0.2705102909038595,0.5092226685331037,0.7756870273326837,0.6263418822546134,0.019328128318311256,0.037281548077120696,0.058078011285398176,0.25975026889025393,0.5534846919712522,0.3119321303764918,3.1875785616384853,3.1049853235018072,0.6395585083147939
