state_abbr,county,fips,votes_dem,votes_gop,total_votes
NY,Bronx,36005,318403,34424,358857
NY,Broome,36007,35212,38077,77657
NY,Cattaraugus,36009,8717,18668,28961
NY,Cayuga,36011,12202,16194,30124
NY,Chautauqua,36013,17281,29418,49381
NY,Chemung,36015,12394,19025,33195
NY,Chenango,36017,5943,11024,18113
NY,Clinton,36019,13446,13181,28378
NY,Columbia,36021,13123,12756,27255
NY,Cortland,36023,7976,9207,18424
NY,Delaware,36025,5825,11012,17778
NY,Dutchess,36027,56874,58163,120199
NY,Erie,36029,192065,173817,383248
NY,Essex,36031,6760,7275,15079
NY,Franklin,36033,6517,7636,15148
NY,Fulton,36035,5805,12759,19563
NY,Genesee,36037,6946,15986,24463
NY,Greene,36039,6370,11546,18869
NY,Hamilton,36041,752,1795,2688
NY,Herkimer,36043,7289,15664,24261
NY,Jefferson,36045,12289,19947,34263
NY,Kings,36047,595086,133653,746295
NY,Lewis,36049,2828,6916,10312
NY,Livingston,36051,10478,19211,31363
NY,Madison,36053,10548,14901,27392
NY,Monroe,36055,174063,128871,320164
NY,Montgomery,36057,5961,10579,17438
NY,Nassau,36059,307326,275479,599649
NY,New York,36061,515481,58935,591368
NY,Niagara,36063,32888,49223,86000
NY,Oneida,36065,30749,48490,83876
NY,Onondaga,36067,102915,78277,191962
NY,Ontario,36069,20233,24343,47664
NY,Orange,36071,63037,72129,140753
NY,Orleans,36073,4327,11582,16722
NY,Oswego,36075,15614,25870,44122
NY,Otsego,36077,9285,12284,23024
NY,Putnam,36079,17363,25241,44186
NY,Queens,36081,473389,138550,627021
NY,Rensselaer,36083,30039,31933,65991
NY,Richmond,36085,67561,95612,167209
NY,Rockland,36087,63454,57148,123943
NY,St. Lawrence,36089,14659,18450,35154
NY,Saratoga,36091,46546,51088,104089
NY,Schenectady,36093,30870,27268,61629
NY,Schoharie,36095,3777,8173,12673
NY,Schuyler,36097,2761,5179,8423
NY,Seneca,36099,5175,6719,12727
NY,Steuben,36101,11215,25091,38373
NY,Suffolk,36103,276953,328403,625720
NY,Sullivan,36105,10983,14626,26509
NY,Tioga,36107,6852,12528,20556
NY,Tompkins,36109,25555,9647,37747
NY,Ulster,36111,40010,32962,77134
NY,Warren,36113,11366,14284,27568
NY,Washington,36115,8238,12770,22401
NY,Wayne,36117,12378,21935,36598
NY,Westchester,36119,245670,121643,378506
NY,Wyoming,36121,3585,11884,16280
NY,Yates,36123,3219,5180,8975
NC,Alamance,37001,29268,38235,69264
NC,Alexander,37003,3750,13826,18011
NC,Alleghany,37005,1300,3789,5214
NC,Anson,37007,5785,4480,10394
NC,Ashe,37009,3476,9353,13160
NC,Avery,37011,1670,6226,8060
NC,Beaufort,37013,8699,14478,23599
NC,Bertie,37015,5837,3476,9380
NC,Bladen,37017,7021,8511,15743
NC,Brunswick,37019,23117,42440,67255
NC,Buncombe,37021,74937,55339,134507
NC,Burke,37023,10930,25741,37638
NC,Cabarrus,37025,35048,53224,91002
NC,Caldwell,37027,8403,26499,35747
NC,Camden,37029,1266,3527,4939
NC,Carteret,37031,9806,26228,36919
NC,Caswell,37033,4549,5758,10515
NC,Catawba,37035,21050,48062,71065
NC,Chatham,37037,20953,17012,39080
NC,Cherokee,37039,2809,10711,13860
NC,Chowan,37041,2965,3983,7108
NC,Clay,37043,1352,4395,5885
NC,Cleveland,37045,14896,28394,44137
NC,Columbus,37047,8991,14177,23472
NC,Craven,37049,17481,27556,46231
NC,Cumberland,37051,70523,50593,124402
NC,Currituck,37053,2879,9070,12423
NC,Dare,37055,7079,11283,19009
NC,Davidson,37057,17328,52870,72013
NC,Davie,37059,5228,15502,21350
NC,Duplin,37061,8196,12151,20601
NC,Durham,37063,118783,27879,150543
NC,Edgecombe,37065,16152,8219,24653
NC,Forsyth,37067,92488,74793,172509
NC,Franklin,37069,12811,16320,29902
NC,Gaston,37071,30982,61467,94872
NC,Gates,37073,2371,2851,5328
NC,Graham,37075,761,3260,4094
NC,Granville,37077,12827,13500,26920
NC,Greene,37079,3570,4358,8013
NC,Guilford,37081,147949,97461,252087
NC,Halifax,37083,15642,8954,24881
NC,Harnett,37085,16452,27278,44955
NC,Haywood,37087,10414,18844,30156
NC,Henderson,37089,19664,35535,56810
NC,Hertford,37091,6886,3081,10100
NC,Hoke,37093,9608,7676,17847
NC,Hyde,37095,956,1275,2273
NC,Iredell,37097,24441,54164,80727
NC,Jackson,37099,7564,9706,18004
NC,Johnston,37101,28153,54082,84553
NC,Jones,37103,2041,2941,5039
NC,Lee,37105,10380,13625,24676
NC,Lenoir,37107,11752,13354,25500
NC,Lincoln,37109,9836,28653,39449
NC,McDowell,37111,4645,14517,19557
NC,Macon,37113,4841,12035,17336
NC,Madison,37115,3899,6735,10966
NC,Martin,37117,5814,5874,11852
NC,Mecklenburg,37119,292258,154303,461834
NC,Mitchell,37121,1585,6225,7948
NC,Montgomery,37123,4108,7070,11449
NC,Moore,37125,16148,30273,47746
NC,Nash,37127,23024,23142,46903
NC,New Hanover,37129,50219,54665,108737
NC,Northampton,37131,6113,3556,9761
NC,Onslow,37133,17156,36342,55364
NC,Orange,37135,59105,18373,79830
NC,Pamlico,37137,2427,4225,6772
NC,Pasquotank,37139,8455,8082,16964
NC,Pender,37141,9086,17317,27072
NC,Perquimans,37143,2291,4143,6595
NC,Person,37145,7772,11116,19303
NC,Pitt,37147,40967,35191,78264
NC,Polk,37149,3715,6738,10723
NC,Randolph,37151,13074,49156,63615
NC,Richmond,37153,8290,10199,18813
